"empresa"	"titulo_reclamacao"	"status_reclamacao"	"local_reclamacao"	"tempo_reclamacao"	"minutos"
"Carrefour -  Loja Online"	"Compra cancelada não estornada e continuo pagando parcelas"	"Resolvido"	"Guarulhos"	"Há 19 dias"	27360
"Carrefour -  Loja Online"	"Produto danificado e não foi retirado e nem valores estornados"	"Resolvido"	"Guarulhos"	"Há 19 dias"	27360
"Carrefour -  Loja Online"	"Inércia do Carrefour no andamento do meu pedido"	"Resolvido"	"Belo Horizonte"	"Há 19 dias"	27360
"Carrefour -  Loja Online"	"COMPRA SEM ENTREGA"	"Não Resolvido"	"São Paulo"	"Há 19 dias"	27360
"Carrefour -  Loja Online"	"Meu produto foi entregue em outro endereço para uma pessoa desconhecida"	"Resolvido"	"Telêmaco Borba"	"Há 19 dias"	27360
"Carrefour -  Loja Online"	"Cervejeira Philco PCV127P com defeito"	"Não Resolvido"	"Ribeirão Pires"	"Há 19 dias"	27360
"Carrefour -  Loja Online"	"Agir de  [editado_RA]"	"Resolvido"	"São Paulo"	"Há 16 dias"	23040
"Carrefour -  Loja Online"	"Troca por defeito."	"Resolvido"	"São Paulo"	"Há 16 dias"	23040
"Carrefour -  Loja Online"	"CARTÃO PRESENTE"	"Não Resolvido"	"Bonfim"	"Há 16 dias"	23040
"Carrefour -  Loja Online"	"Valor do produto aumenta  quando colocado no carrinho"	"Não Resolvido"	"Guarulhos"	"Há 17 dias"	24480
"Carrefour -  Loja Online"	"Comprei o produto e não recebi!!"	"Resolvido"	"Embu das Artes"	"Há 17 dias"	24480
"Carrefour -  Loja Online"	"Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores"	"Resolvido"	"Belo Horizonte"	"Há 17 dias"	24480
"Carrefour -  Loja Online"	"Compra cancelada sem estorno"	"Resolvido"	"São Paulo"	"Há 17 dias"	24480
"Carrefour -  Loja Online"	"empresa que não se preocupa com o consumidor"	"Resolvido"	"Ribeirão Preto"	"Há 17 dias"	24480
"Carrefour -  Loja Online"	"Desrespeito com o Consumidor, Compra Cancelada injustamente"	"Resolvido"	"São Paulo"	"Há 18 dias"	25920
"Carrefour -  Loja Online"	"Sem retorno sobre a troca do produto"	"Resolvido"	"Bragança Paulista"	"Há 18 dias"	25920
"Carrefour -  Loja Online"	"Efetuei a compra pelo site da empresa Carrefour e me enviaro mercadoria errada fiz devolucao ate agora nao me dero reemboso"	"Resolvido"	"Carapicuíba"	"Há 13 dias"	18720
"Carrefour -  Loja Online"	"Troca e posterior devolução"	"Não Resolvido"	"Rio de Janeiro"	"Há 13 dias"	18720
"Carrefour -  Loja Online"	"Moto elétrica menor que o esperado"	"Resolvido"	"Rio de Janeiro"	"Há 14 dias"	20160
"Carrefour -  Loja Online"	"Quero meu dinheiro de volta!!!"	"Resolvido"	"Curitiba"	"Há 14 dias"	20160
"Carrefour -  Loja Online"	"Fiz uma compra de um celular galaxy a01 e não entregam"	"Resolvido"	"São Paulo"	"Há 14 dias"	20160
"Carrefour -  Loja Online"	"Pagamento pendende , Após  operadora de cartão de crédito ter faturado compra."	"Resolvido"	"Nova Santa Rita"	"Há 14 dias"	20160
"Carrefour -  Loja Online"	"Não entregaram meu pedido que era para 25-03"	"Não Resolvido"	"São Paulo"	"Há 15 dias"	21600
"Carrefour -  Loja Online"	"Atraso na entrega do produto."	"Não Resolvido"	"Ribeirão Preto"	"Há 16 dias"	23040
"Carrefour -  Loja Online"	"Atraso na entrega."	"Resolvido"	"Itapevi"	"Há 16 dias"	23040
"Carrefour -  Loja Online"	"Dificuldade pra estornar valor"	"Resolvido"	"São Lourenço da Mata"	"Há 16 dias"	23040
"Carrefour -  Loja Online"	"Quero meu dinheiro!"	"Resolvido"	"Novo Gama"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Estorno compra devolvida"	"Resolvido"	"Taubaté"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Aguardando reembolso há 60 dias"	"Resolvido"	"Belo Horizonte"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Compra por telefone sem profissionalismo"	"Não Resolvido"	"Santo André"	"Há 12 dias"	17280
"Carrefour -  Loja Online"	"Devolução do dinheiro"	"Resolvido"	"Sorocaba"	"Há 12 dias"	17280
"Carrefour -  Loja Online"	"TESTES DA INTEGRAÇÃO - API EM FUNCIONAL"	"Resolvido"	"São Paulo"	"Há 12 dias"	17280
"Carrefour -  Loja Online"	"Produto falsificado"	"Resolvido"	"São Paulo"	"Há 12 dias"	17280
"Carrefour -  Loja Online"	"Reembolso Total"	"Resolvido"	"Rio de Janeiro"	"Há 12 dias"	17280
"Carrefour -  Loja Online"	"Troca de Produto."	"Resolvido"	"Mogi das Cruzes"	"Há 13 dias"	18720
"Carrefour -  Loja Online"	"Venceu a data da entrega e não consigo saber onde esta o produto."	"Não Resolvido"	"Vila Velha"	"Há 13 dias"	18720
"Carrefour -  Loja Online"	"COMPRA CANCELADA"	"Não Resolvido"	"Rio de Janeiro"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Cancelaram meu pedido sem justificativa"	"Não Resolvido"	"São Paulo"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"CHACOTA COM CLIENTES"	"Não Resolvido"	"Palmeira dos Índios"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Fiz o pedido na loja online do carrefour e ele foi cancelado sem motivo algum"	"Resolvido"	"São Paulo"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Reclamação sobre entrega"	"Resolvido"	"São Paulo"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Troca de entrega de produtos"	"Resolvido"	"Rio de Janeiro"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Cancelamento da compra após aprovação!"	"Não Resolvido"	"Recife"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Cancelamento"	"Não Resolvido"	"São Carlos"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Anunciam por um preço e tentam fazer comprar por outro."	"Não Resolvido"	"Rio de Janeiro"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Varios protocolos e nenhuma resposta..."	"Resolvido"	"Recife"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"Descaso depois da compra"	"Resolvido"	"Sete Lagoas"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Sem estorno do valor do produto"	"Não Resolvido"	"Rio de Janeiro"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"ENTREGA NÃO REALIZADA"	"Resolvido"	"Fortaleza"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Atraso de entrega"	"Não Resolvido"	"São Paulo"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Carrefour"	"Não Resolvido"	"Poá"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"PEDIDO CANCELADO SEM MOTIVO PELA CARREFOUR"	"Não Resolvido"	"Caetité"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Compra cancelada"	"Não Resolvido"	"Ribeirão Preto"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Cancelamento de compra"	"Resolvido"	"Anápolis"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Cancelamento sem solicitação"	"Não Resolvido"	"Itaboraí"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"PROPAGANDA ENGANOSA"	"Não Resolvido"	"Palmas"	"Há 11 dias"	15840
"Carrefour -  Loja Online"	"demora na aprovaçao pagamento"	"Resolvido"	"São Paulo"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"COMPRA CANCELADA INDEVIDAMENTE"	"Não Resolvido"	"Belo Horizonte"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Cancelamento"	"Resolvido"	"Belo Horizonte"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Propaganda enganosa!!"	"Não Resolvido"	"Fortaleza"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Cancelamento sem motivos de produto em promoção."	"Não Resolvido"	"Belo Horizonte"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Compra no site e produto não  entregue"	"Resolvido"	"São José dos Campos"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"PROPAGANDA ENGANOSA, BRINCADEIRA DE MAL GOSTO 1 DE ABRIL."	"Não Resolvido"	"Cabedelo"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Propaganda enganosa , cancelamento sem explicação"	"Não Resolvido"	"Cruzeiro da Fortaleza"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Compra cancelada e nem justificaram"	"Não Resolvido"	"São Paulo"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"DESCONSIDERAÇÃO COM O CLIENTE"	"Não Resolvido"	"Belo Horizonte"	"Há 10 dias"	14400
"Carrefour -  Loja Online"	"Carrefour preços errados e pedidos cancelados"	"Não Resolvido"	"Aracaju"	"Há 8 dias"	11520
"Carrefour -  Loja Online"	"Carrefour propaganda enganosa"	"Não Resolvido"	"São Paulo"	"Há 8 dias"	11520
"Carrefour -  Loja Online"	"Insatisfação"	"Resolvido"	"Contagem"	"Há 8 dias"	11520
"Carrefour -  Loja Online"	"Cancelamento de compra sem motivo"	"Não Resolvido"	"Passos"	"Há 8 dias"	11520
"Carrefour -  Loja Online"	"Pedido cancelado"	"Não Resolvido"	"Jaboatão dos Guararapes"	"Há 9 dias"	12960
"Carrefour -  Loja Online"	"504133862"	"Não Resolvido"	"Brasília"	"Há 9 dias"	12960
"Carrefour -  Loja Online"	"Boleto com dados inválidos"	"Não Resolvido"	"Ribeirão Pires"	"Há 9 dias"	12960
"Carrefour -  Loja Online"	"Atraso na entrega e péssimo atendimento pela central telefonica"	"Não Resolvido"	"Barueri"	"Há 10 dias"	14400
